Topic Number,의견
1,길가에 쓰레기 버리는 사람들이 많아서 쓰레기 냄새가 너무 나는 길이 있어요 쓰레기 문제가 해결 되었으면 좋겠어요 깨끗한 길로 이동하고 싶어요 담배를 길에서 피지 못하게 했으면 좋겠고 교육도 진행했으면 좋겠어요 길에서 담배 피는 사람들 숨 참고 지나가는 게 힘들어요
,매일 적절한 신체 활동을 통해 근력 유연성 심폐 기능을 강화한다 예를 들어 야외 놀이 스포츠 체육 활동 등을 권장한다 시청에서는 매일 적절한 신체 활동을 통해 근력 유연성 심폐 기능을 강화한다 예를 들어 야외 놀이 스포츠 체육 활동 등을 권장한다
,가장 중요한 건 정신이 건강해야 몸과 마음도 건강할 있다고 생각합니다 아동들의 고민이나 정신적인 상담을 해주어 아동들의 정신 상태나 마음의 짐이 있는지 물어보며 주기적으로 확인을 해서 상담이 필요한 아동들에게는 상담을 건강이 좋은 애들에게는 의료 지원을 해주었으면 좋겠습니다
2,놀이 시설 접근성이 높아야 하며 놀이 비용이 저렴해야 합니다  하교 후에 학원으로 가는 아동들이 많아서 놀이 확보도 필요합니다  맞벌이 가정이라 아동을 놀이할 있는 프로그램에 참여 시키고 싶어도 보호자 대동해야 하는 경우가 다반사입니다 차량 픽업이 가능하고 퇴근까지 아동이 있을 있는 학원으로 보낼 밖에 없습니다 놀이 프로그램을 학교나 도서관 같은 아동들이 접근성이 좋은 곳이면 좋겠고 아동들 이동 시 셔틀버스 같은 차량 지원이 되면 아무래도 프로그램에 접근성이 좋아질  같습니다
,다 괜찮은데 가출한 아동들이 갈 곳이 없어 들어가려고 하면 부모 연락처 같은거 알려줘야 하고 들어간다 쳐도 다시 부모에게 반송되는데 문제를 해결해줬음 좋겠음 애초에 애들이 집을 나간데엔 다 이유가 있음 부모가 가정에서 아동에게 안좋게 대한다던가 하는 이유로그런 아동들에게 보금 자리가 되어주어야 할 곳이 아동을 다시 지옥으로 보낸다니 모순이다 내 의견을 널리 퍼뜨려 국회에 퍼져 법들이 개정이 되었음 한다
,아동이 창의적으로 문제를 해결할 있는 기회를 제공하여 창의성과 비판적 사고를 기른다 예를 들어 다양한 실습과 실험 활동을 지원한다 교사와 학생 간의 열린 소통을 통해 아동의 의견을 존중하고 반영하는 학습 환경을 조성한다 학업적 정서적 사회적으로 어려움을 겪는 학생들을 위한 지원 프로그램을 운영하여 학생들의 성공을 촉진한다 모든 학생들의 다양성을 존중하고 포용하는 교육 환경을 조성하여 학생들이 서로를 이해하고 협력할 있도록 돕는다
3,놀이 공간이 안전하게 설계되어야 하며 아동들이 다치지 않도록 적절한 안전 장치와 보호 시설이 필요하다 창의력과 상상력을 자극하는 다양한 놀이 기구와 활동이 필요하다 예를 들어 미술 음악 스포츠 과학 활동 등이 아동의 연령과 발달 단계에 맞춘 프로그램이 제공되어야 한다 시청에서는 공공 놀이 시설과 공원의 안전성을 강화하고 정기적인 점검과 유지보수를 실시하며접근성이 좋은 위치에 다양한 놀이 공간을 조성하여 모든 아동들이 이용할 있도록 해야 한다
,영양소가 균형 잡힌 식사를 통해 성장에 필요한 에너지를 제공한다 과일 채소 단백질 곡류 유제품 등을 포함한 균형 잡힌 식단을 마련한다 아동에게 필요한 예방 접종을 제공하고 이를 위한 캠페인을 통해 접종률을 높인다 아동의 신체적 정신적 건강 상태를 정기적으로 검진하는 프로그램을 운영하고 치과 검사 시력 검사 등을 포함한다
,어른들의 시선과 존중 저는 홈스쿨링을 하고 있어서 학교 밖 지원센터를 이용하는 학생입니다 전 자퇴를 하거나 사고를 쳐서 학교를 나온 것이 아닌 미래를 위해 초등학교도 다니지 않았어요 어른들은 청소년 센터에서 도움을 받는다고 하면 좋지 않은 시선으로 우릴 봅니다 점이 개선되어서 학교다니는 학생 않은 학생 참여하면 좋겠어요
4,다양한 배경을 가진 아동이 존중받고 차별 없이 교육받을 있는 환경을 조성한다 아동이 주도적으로 참여할 있는 학습 활동을 통해 적극적으로 학습에 참여하도록 유도한다 예를 들어 토론 프로젝트 기반 학습 등을 포함한다 교육 정책을 개선하고 발전시켜서 모든 학생들에게 공평하고 효과적인 교육을 제공할 있도록 한다 교육 예산을 적절히 배분하여 교육 시설의 개선 교사들의 연봉 교육 프로그램의 확대에 투자한다
,아동의 권리를 보장하는 국제 협약을 준수하고 아동의 의견 표현 정보 접근 참여 권리를 존중한다 아동에게 자신의 권리에 대해 교육하고 이를 실현할 있는 방법을 안내한다 시청에서는 아동들이 정책 결정 과정과 지역사회 활동에 대해 배우고 직접 참여할 있는 워크숍과 캠프를 운영한다 아동의 요구와 의견을 반영한 예산을 편성하여 놀이 시설 교육 프로그램 문화 활동 등에 투자한다
,아동이 감정을 이해하고 표현할 있는 방법을 가르치고 스트레스 관리 기술을 습득하도록 도와준다 아동이 협력 소통 문제 해결 등의 사회적 기술을 배울 있도록 다양한 기회를 제공한다 보건소에서는 아동이 심리적 어려움을 겪을 도움을 받을 있도록 무료 또는 저비용의 심리상담 서비스를 제공한다 아동의 정신 건강을 지원하는 프로그램을 운영하여 스트레스 관리 정서적 안정 등을 돕는다
