Dataset,Algorithm,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,AUC
Test set,Logistic Regression,44842,308,40330,297,3907,0.509090909,0.073072361,0.992689591,0.12780083,0.906248606,0.810990727
Test set,Random Forest,44842,334,40448,179,3881,0.651072125,0.079240807,0.995594063,0.141285956,0.909459881,0.836987058
Test set,XGBoost,44842,695,40068,559,3520,0.554226475,0.164887307,0.986240677,0.25415981,0.909036171,0.840881061
Test set,LGBM,44842,462,40331,296,3753,0.609498681,0.109608541,0.992714205,0.185803338,0.909705187,0.837404182
Test set,CatBoost,44842,620,40094,533,3595,0.537727667,0.147093713,0.986880646,0.23099851,0.907943446,0.831861187
Test set,MLP,44842,0,40627,0,4215,0,0,1,0,0.9060033,0.49991385
Test set,CNN,44842,0,40627,0,4215,0,0,1,0,0.9060033,0.5
Entire population,Logistic Regression,222675,1660,200503,1394,19118,0.543549443,0.079892194,0.993095489,0.139308493,0.907883687,0.811739399
Entire population,Random Forest,222675,16893,201718,179,3885,0.989514995,0.81302339,0.999113409,0.892628798,0.981749186,0.986235255
Entire population,XGBoost,222675,6259,200670,1227,14519,0.836094042,0.301232072,0.993922644,0.442895556,0.929287078,0.91973646
Entire population,LGBM,222675,2856,200773,1124,17922,0.71758794,0.137453075,0.994432805,0.230713305,0.914467273,0.871222939
Entire population,CatBoost,222675,4418,200316,1581,16360,0.736456076,0.212628742,0.992169274,0.329984688,0.919429662,0.86344319
Entire population,MLP,222675,0,201897,0,20778,0,0,1,0,0.906689121,0.500029391
Entire population,CNN,222675,0,201897,0,20778,0,0,1,0,0.906689121,0.5
