기간,M1,증가율
2020-01,944.3064,1.7
2020-02,967.1926,2.4
2020-03,986.3261,2
2020-04,1005.4722,1.9
2020-05,1032.4776,2.7
2020-06,1051.7292,1.9
2020-07,1070.6445,1.8
2020-08,1089.1971,1.7
2020-09,1112.4584,2.1
2020-10,1128.8572,1.5
2020-11,1150.6857,1.9
2020-12,1168.5702,1.6
2021-01,1194.7837,2.2
2021-02,1211.8395,1.4
2021-03,1229.4542,1.5
2021-04,1249.6044,1.6
2021-05,1261.2599,0.9
2021-06,1273.86,1
2021-07,1287.1873,1
2021-08,1305.0001,1.4
2021-09,1321.4255,1.3
2021-10,1338.0913,1.3
2021-11,1353.7307,1.2
2021-12,1353.1346,0
2022-01,1362.4361,0.7
2022-02,1362.0376,0
2022-03,1369.6671,0.6
2022-04,1369.3904,0
2022-05,1371.9209,0.2
2022-06,1371.8653,0
2022-07,1353.9048,-1.3
2022-08,1335.199,-1.4
2022-09,1315.2446,-1.5
2022-10,1290.6262,-1.9
2022-11,1261.6809,-2.2
2022-12,1232.0937,-2.3
2023-01,1206.0699,-2.1
2023-02,1198.1522,-0.7
2023-03,1193.0003,-0.4
2023-04,1187.6676,-0.4
2023-05,1181.4144,-0.5
2023-06,1179.4341,-0.2
2023-07,1187.2603,0.7
2023-08,1184.979,-0.2
2023-09,1184.088,-0.1
2023-10,1194.6446,0.9
2023-11,1198.9669,0.4
2023-12,1217.7488,1.6
2024-01,1221.11,0.3
2024-02,1217.6573,-0.3
2024-03,1244.4012,2.2
2024-04,1234.8056,-0.8
2024-05,1221.5703,-1.1
2024-06,1220.5247,-0.1
2024-07,1216.5762,-0.3
2024-08,1217.8316,0.1
2024-09,1224.6663,0.6
2024-10,1233.5113,0.7
2024-11,1248.8745,1.2
2024-12,1274.2903,2
