Dataset,Algorithm,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,AUC,,Type,Algorithm,Precision,Recall,Specificity,F1-score,Accuracy,AUC
Test set,Logistic Regression,6026,2515,2242,771,498,0.765368229,0.83471623,0.744108862,0.798539451,0.789412546,0.868471605,,"Machine
Learning",Logistic Regression,0.7654,0.8347,0.7441,0.7985,0.7894,0.8685
Test set,Random Forest,6026,2581,2213,800,432,0.763383614,0.856621308,0.734483903,0.807319362,0.795552605,0.874980957,,,Random Forest,0.7634,0.8566,0.7345,0.8073,0.7956,0.875
Test set,XGBoost,6026,2530,2294,719,483,0.778701139,0.839694656,0.761367408,0.808048547,0.800531032,0.881874858,,,XGBoost,0.7787,0.8397,0.7614,0.808,0.8005,0.8819
Test set,LGBM,6026,2551,2283,730,462,0.777506858,0.846664454,0.757716562,0.810613282,0.802190508,0.885419295,,,LGBM,0.7775,0.8467,0.7577,0.8106,0.8022,0.8854
Test set,CatBoost,6026,2509,2292,721,504,0.776780186,0.832724859,0.760703618,0.803780234,0.796714238,0.881629765,,,CatBoost,0.7768,0.8327,0.7607,0.8038,0.7967,0.8816
Test set,MLP,6026,1998,2499,514,1015,0.795382166,0.663126452,0.829405908,0.723257919,0.74626618,0.845215373,,"Deep
Learning",MLP,0.7954,0.6631,0.8294,0.7233,0.7463,0.8452
Test set,CNN,6026,1936,2497,516,1077,0.789559543,0.642548955,0.828742117,0.708508692,0.735645536,0.843866478,,,CNN,0.7896,0.6425,0.8287,0.7085,0.7356,0.8439
Entire population,Logistic Regression,31488,13119,11738,4006,2625,0.766072993,0.833269817,0.745553862,0.798259758,0.789411839,0.870357863,,,,,,,,,
Entire population,Random Forest,31488,15312,14944,800,432,0.950347567,0.972560976,0.949186992,0.961325967,0.960873984,0.992066319,,,,,,,,,
Entire population,XGBoost,31488,14842,14049,1695,902,0.89750257,0.942708333,0.892339939,0.9195502,0.917524136,0.971668266,,,,,,,,,
Entire population,LGBM,31488,14049,12728,3016,1695,0.823263991,0.892339939,0.808434959,0.856411351,0.850387449,0.929708684,,,,,,,,,
Entire population,CatBoost,31488,13988,12821,2923,1756,0.827153923,0.888465447,0.814341972,0.856714133,0.851403709,0.930320621,,,,,,,,,
Entire population,MLP,31488,11928,14066,1678,3816,0.876672056,0.757621951,0.893419715,0.812810903,0.825520833,0.916911197,,,,,,,,,
Entire population,CNN,31488,12251,14865,879,3493,0.933054075,0.778137703,0.944169207,0.848583501,0.861153455,0.950005446,,,,,,,,,
